session,decision_session,fit_start,fit_end,absolute_correlation,variance_ratio,downside_ratio,shrinkage,fit_mean_return,solver_message,return_floor,turnover,objective,maximum_weight,minimum_weight,weight_legacy_reversal,weight_kalman,weight_dislocation,weight_legacy_blend,weight_v7_R01
2020-12-31,2020-12-31,2020-07-06,2020-12-31,0.02064607367625313,0.9312277079181599,0.9516866873409466,0.060101436691914215,-0.00014354820973242805,Optimization terminated successfully,-0.00014354820973241976,0.3489884994706145,0.2594631443249846,0.31980596707559855,8.915390869740143e-17,8.915390869740143e-17,0.23060856199964372,0.26711130948073286,0.31980596707559855,0.1824741614440248
2021-04-05,2021-04-05,2020-10-02,2021-04-05,0.1873660622020651,0.7163713062468591,0.7653368159849282,0.18394101946805833,-0.00014037363542137714,Optimization terminated successfully,-0.00014037363542136465,0.6000000000000006,0.3848529907105857,0.5665692619092733,0.0,0.0,0.14210740574661046,0.5665692619092733,0.13318901257373236,0.1581343197703842
2021-07-02,2021-07-02,2021-01-04,2021-07-02,0.3324254283839713,0.8263017881643991,0.8545759646508603,0.11863678179487765,-0.00015582126422769316,Optimization terminated successfully,-0.00015582126422765324,0.18047311266318883,0.5508645536045589,0.47564670297381634,7.48508517984433e-18,7.48508517984433e-18,0.18394973643376789,0.47564670297381634,0.15256377900686305,0.1878397815855527
2021-10-01,2021-10-01,2021-04-06,2021-10-01,0.12461315760103886,0.6970773994313239,0.8236647829580218,0.1283738124323512,-0.000167858121396212,Optimization terminated successfully,-0.0001678581213965539,0.5999999999999999,0.31171988870210493,0.48409133744335575,1.0129485471469507e-09,1.0129485471469507e-09,0.48409133744335575,0.23038238518653567,0.1525283518276588,0.13299792452950113
2021-12-31,2021-12-31,2021-07-06,2021-12-31,0.2746531950381897,0.48169110475818416,0.6755055285433433,0.2242392034569896,-0.00018626847410954577,Optimization terminated successfully,-0.00018626847410954198,0.5999999999999851,0.4174998915734347,0.5305823027602216,0.0,0.0,0.36686897239955746,0.5305823027602216,0.013388612711510912,0.08916011212871021
2022-04-01,2022-04-01,2021-10-04,2022-04-01,0.273737598442597,0.42282434669710767,0.5989637219900743,0.2319850639391697,-0.00020408424623599575,Optimization terminated successfully,-0.00020408424623592238,0.6000000000000003,0.40264219151079084,0.6,1.925659733624602e-17,1.925659733624602e-17,0.06657392261579564,0.6,0.24406451646339974,0.08936156092080466
2022-07-05,2022-07-05,2022-01-03,2022-07-05,0.223593122074228,0.5974502512919104,0.7027686795970705,0.2239119374259542,-0.00018527029282645158,Optimization terminated successfully,-0.00018527029282633124,0.5101335746548644,0.395346878639801,0.5999999999999998,7.771199092735263e-16,0.1990073121763419,7.771199092735263e-16,0.5999999999999998,0.055169768666100426,0.14582291915755718
2022-10-03,2022-10-03,2022-04-04,2022-10-03,0.18071387985090245,0.7046379013206916,0.7972997087969597,0.22237556544157272,-0.0001663721011209604,Optimization terminated successfully,-0.00016637210112095956,0.39715333195461644,0.3791109117252326,0.5999999999999999,1.5653401565018413e-16,1.5653401565018413e-16,0.05569735433194377,0.5999999999999999,0.17293050669655036,0.1713721389715057
2023-01-03,2023-01-03,2022-07-06,2023-01-03,0.16552440660811235,0.7443532252230446,0.8771981791160328,0.21666048131297844,-0.00018809087116777775,Optimization terminated successfully,-0.0001880908711677769,0.3455113198608962,0.3732787610451714,0.5999999999999999,0.0,0.09402048821887438,0.13052981050822615,0.5999999999999999,0.0,0.17544970127290016
2023-04-04,2023-04-04,2022-10-04,2023-04-04,0.07412158785009015,0.49059024546540025,0.7402890451625265,0.23408061434225302,-0.00019964612792041476,Optimization terminated successfully,-0.00019964612792040492,0.220148297669314,0.22017721065066553,0.6,2.2207043942992256e-16,0.03758894828679197,0.24035280012604593,0.6,2.2207043942992256e-16,0.12205825158716174
2023-07-06,2023-07-06,2023-01-04,2023-07-06,0.00375657347285165,0.6725801292160791,0.826464885864705,0.23523523100533214,-0.00018349826676283593,Optimization terminated successfully,-0.0001834982667628065,0.5193986135897454,0.19542512887740465,0.6,0.0,0.0,0.017860766581456515,0.6,0.2219000169953436,0.16023921642319977
2023-10-04,2023-10-04,2023-04-05,2023-10-04,0.07733658002107911,0.9065450977199445,0.952878438743766,0.12643508973524145,-0.0001563528198570424,Optimization terminated successfully,-0.00015635281985702202,0.33040907146380516,0.3166163634245894,0.5022948250971697,0.06083977092648206,0.06083977092648206,0.0842201158650282,0.5022948250971697,0.15222759104076075,0.2004176970705593
2024-01-04,2024-01-04,2023-07-07,2024-01-04,0.04366869732189736,0.7821846921529672,0.8910868129136666,0.15953975907879606,-0.0001521244965024826,Optimization terminated successfully,-0.00015212449650242585,0.35585846372213226,0.2551688462680188,0.5220125899209838,8.595080485014617e-16,0.21805340399519968,8.595080485014617e-16,0.5220125899209838,0.07652318071650448,0.18341082536731118
2024-04-05,2024-04-05,2023-10-05,2024-04-05,0.08248305530090741,0.6524890183286586,0.8251568304658117,0.23253214285575471,-0.00015650886336971307,Optimization terminated successfully,-0.00015650886336970868,0.18603575916729947,0.26885852416864753,0.5877462101095702,2.1270806399638336e-17,0.2440940083473394,2.1270806399638336e-17,0.5877462101095702,0.0023309018413731983,0.1658288797017173
2024-07-08,2024-07-08,2024-01-05,2024-07-08,0.03366725427999477,0.7425897453905932,0.8786879825753929,0.24106439550705186,-0.0001586542748928994,Optimization terminated successfully,-0.0001586542748928963,0.4867182400506262,0.24342113017834827,0.5999999999999992,0.0,0.0,7.759968095873237e-16,0.5999999999999992,0.22306941164239782,0.17693058835760245
2024-10-04,2024-10-04,2024-04-08,2024-10-04,0.10256394953853075,0.4891737073497203,0.7073354327061391,0.25642584545028174,-0.00017659774711804277,Optimization terminated successfully,-0.00017659774711802876,0.13645132085532913,0.250499960920989,0.5999999999999976,0.0,0.0,2.884067203724977e-15,0.5999999999999976,0.2906251771040613,0.10937482289593974
